company,reviews,salaries,jobs,benefits,photos
Aadhar Housing Finance,1.2k,3.9k,22,104,2
BNP Paribas,1.2k,12.8k,3,189,8
FirstCry,1.2k,6.8k,116,86,2
Morgan Stanley,1.2k,19.2k,57,165,8
First American Corporation,1.2k,8k,32,161,--
NextComm Corporation,1.2k,7,--,43,3
Biocon Biologics,1.2k,5k,23,367,14
Aforeserve,1.2k,3.9k,30,89,--
Security and Intelligence Services (India),1.2k,3.9k,29,142,5
Oracle Cerner,1.2k,11.5k,--,268,1
Belrise Industries,1.2k,6k,2,102,--
Emami,1.2k,4.6k,2,132,2
Aon,1.2k,5.5k,19,212,--
IDC Technologies,1.2k,7.5k,13,49,13
Bata,1.2k,3.7k,--,119,5
Exotic Learning,1.2k,379,14,183,--
Fusion BPO Services,1.2k,3.7k,10,102,12
Hindustan Construction Company,1.2k,3.5k,1,163,--
Dell EMC,1.2k,11.4k,--,201,1
Toyota Kirloskar Motor,1.2k,3.6k,--,172,3
Marriott International,1.2k,4.7k,551,185,2
Tata Power,1.2k,6.4k,8,150,9
KFC,1.2k,2.7k,--,158,1
Mercer,1.2k,9.3k,20,248,--
Tesco,1.2k,8k,39,198,4
Narayana Educational Society,1.2k,4k,5,121,--
Trident Group,1.2k,4.9k,9,133,17
Faurecia,1.2k,6.3k,43,202,1
Trent,1.2k,3.8k,11,136,--
TaskUs,1.2k,5.2k,62,127,10
Ola Electric Mobility ,1.2k,6k,3,81,9
Altruist Technologies,1.2k,6.1k,2,82,2
Tata Advanced Systems,1.2k,8.1k,5,143,1
FedEx Express,1.2k,4k,46,194,--
Polycab Wires,1.2k,5.6k,28,94,6
Iris Software,1.2k,6.6k,15,282,12
Veritas Finance,1.2k,1.6k,1,42,21
L.G.Balakrishnan & Bros,1.2k,5.3k,--,134,--
Suguna Foods,1.2k,3.6k,8,141,7
Marico,1.2k,4.8k,15,167,4
HTC Global Services,1.2k,10.6k,27,111,--
iOPEX Technologies,1.1k,4.5k,15,570,20
NIIT,1.2k,6.2k,26,168,15
Infinite Computer Solutions,1.2k,11.2k,248,106,8
Muthoot Group,1.1k,3.8k,--,232,3
Hero Motors Company,1.1k,5k,4,128,3
Krishna Maruti,1.1k,4.9k,3,134,3
Sony,1.1k,4.3k,77,189,--
Jet Airways,1.1k,4.2k,--,181,--
Bajaj Capital,1.1k,3.6k,44,110,7
Welspun,1.1k,4.4k,12,157,8
Manipal Hospitals,1.1k,4.7k,79,136,2
Oracle Financial Services Software,1.1k,12.9k,--,198,7
Pantaloons,1.1k,3k,--,133,--
Satin Creditcare Network,1.1k,3.2k,5,133,1
Nayara Energy,1.1k,5.6k,1,176,5
Inox Leisure,1.1k,3.9k,--,153,1
SRL Diagnostics,1.1k,3.5k,2,134,--
ISS Facility Services,1.1k,3.7k,37,135,--
Biocon Limited,1.1k,10.9k,7,14,--
ZF Commercial Vehicle Control Systems,1.1k,2.7k,--,21,--
Akzo Nobel India,1.1k,3.8k,21,140,5
Adani Group,1.1k,7.5k,119,110,2
TTEC India,1.1k,4k,5,159,24
J. Kumar Infraprojects,1.1k,4.3k,2,120,2
Fabindia,1.1k,4.1k,1,124,3
Barclays Shared Services,1.1k,6.5k,16,192,--
Collabera Technologies,1.1k,7.8k,9,108,--
ICICI Home Finance,1.1k,4k,1,89,1
Daimler India Commercial Vehicles,1.1k,6.4k,3,185,--
Cushman & Wakefield,1.1k,5.1k,73,138,--
Gland Pharma,1.1k,5.9k,11,134,--
VLCC,1.1k,3.2k,24,101,--
Redcliffe Labs,1.1k,1.2k,7,60,33
Chandigarh University,1.1k,2.2k,74,109,6
Supreme Industries,1.1k,4.9k,2,120,3
Panasonic,1.1k,5.3k,--,149,2
Lavender Technology,1.1k,3,--,75,--
Asahi India Glass ,1.1k,4.4k,19,141,2
Ashoka Buildcon,1.1k,3.8k,2,129,4
ITD Cementation India,1.1k,3.7k,1,144,4
JioMart,1.1k,3.5k,--,78,6
Jindal X,1.1k,2.8k,33,166,1
TCS iON,1.1k,4.6k,1,188,1
Annapurna Finance,1.1k,3.1k,20,127,1
Sysnet Global Technologies,1.1k,3.5k,--,86,--
NeoSOFT,1.1k,8.3k,39,143,6
Aye Finance,1.1k,2.7k,46,121,6
Godrej Group,1.1k,2.8k,2,163,3
Shadowfax Technologies,1.1k,4.9k,45,83,14
Granules India,1.1k,5k,4,172,--
Ocwen Financial Solutions,1.1k,5.4k,3,170,--
 Heritage Foods  ,1.1k,3.4k,50,144,--
GMR Group,1.1k,4.2k,--,189,--
Aptara,1.1k,5.9k,18,117,4
Sanofi,1.1k,3.9k,162,155,--
HighRadius,1.1k,6.4k,39,96,13
GE,1.1k,8.4k,28,211,--
Adani Ports and SEZ,1.1k,4.6k,--,144,4
Compass Group Support Services,1k,4.6k,25,148,19
MiraMed Ajuba,1k,4.2k,--,154,--
EPAM Systems,1.1k,12.3k,38,146,17
Bharat Forge,1k,5.6k,7,123,--
Canara Bank,1.1k,3.3k,--,98,--
Spicejet,1k,5k,6,156,4
Spinny,1.1k,4.9k,93,108,--
Caterpillar Inc,1.1k,8.2k,60,143,7
Bharat FIH,1.1k,3.2k,2,58,--
Broadridge Financial Solutions,1.1k,9.7k,66,143,4
Unisys,1k,9.9k,--,157,--
Evalueserve,1k,9.5k,47,144,2
AB InBev India,1.1k,6.7k,16,162,2
NSE.IT,1k,5.7k,10,123,--
GE Vernova,1k,4.3k,--,9,1
Sharekhan,1k,4.7k,49,119,--
Steel Strips Wheels,1k,5.1k,8,132,6
Xiaomi,1k,5.2k,5,136,8
Edelweiss,1k,7.8k,9,132,--
Vfs Global Services,1k,3.9k,8,124,--
Lumax Industries,1k,5.3k,1,133,2
Amity University,1k,4.7k,54,127,--
Sagility,1.1k,4.6k,59,46,75
IFB,1k,4.6k,1,65,--
Pine Labs,1k,5.4k,17,120,--
Unichem Laboratories,1k,4.8k,18,136,--
Bisleri,1k,3.6k,10,152,5
NEC,1k,3.9k,27,134,55
Indoco Remedies,1k,5.1k,2,117,--
Cinépolis,1k,2.9k,5,152,--
Physicswallah,1k,3.1k,107,25,6
Newgen Software Technologies,1k,10k,5,167,8
CorroHealth,1k,4.3k,7,15,5
Tanishq,1k,2.5k,1,69,4
Synchrony,1k,5k,--,204,23
Aircel,999,1.7k,--,154,--
Iffco Tokio General Insurance Co.,1k,3.8k,--,117,5
Punjab National Bank,988,2.7k,--,97,2
Jakson Group,994,3.2k,12,106,2
Iksula,1k,3.4k,11,109,5
Fino Payments Bank,997,3.6k,12,98,1
Northern Trust Operating Services,994,8k,66,226,--
LivSpace,1k,6.5k,127,107,3
SYSKA LED Lights,985,2.6k,--,85,--
ECIL,985,3.5k,2,110,2
Saipem,977,3.1k,--,154,19
Devyani International,995,3k,28,127,9
Valeo,999,6.9k,164,139,3
Aditya Birla Health Insurance Co,995,5.1k,4,92,--
FDC,982,3.3k,5,91,5
Paytm Payments Bank,1k,5.8k,8,120,--
BVG India,988,3.4k,3,100,1
Tietoevry,982,9k,9,128,13
Health Care Global Enterprises,985,2.4k,58,30,3
Best Sellers,978,2.8k,5,132,2
Goldman Sachs,994,15k,--,112,1
Suryoday Small Finance Bank,979,3.9k,21,87,--
VMware Software,982,10k,41,141,--
Sheenlac Paints,1k,1.4k,3,56,16
Burger King,969,3.2k,8,136,4
DISH TV,959,3.3k,11,101,1
AGS Transact Technologies,962,4.1k,9,130,1
SKF,967,4.1k,--,158,3
Foxconn,968,7.8k,3,211,1
Oil And Natural Gas Corporation,963,3.3k,--,144,2
Fidelity National Financial,960,5.8k,5,161,7
Wheelseye Technology,956,3k,34,104,6
DENSO,958,3.6k,--,192,6
Sansera Engineering,953,4.3k,10,116,2
Xyz Company,985,27.9k,1,74,--
Apco Infratech,946,3.6k,14,112,7
ManpowerGroup,956,4.7k,102,81,10
SAI Life Sciences,960,4.9k,22,134,9
Tata 1mg,958,4.8k,44,107,20
Clover Infotech,956,9.7k,54,99,35
Shriram Pistons & Rings,941,4.3k,1,142,1
ANZ Banking Group,944,7.3k,16,114,--
QualityKiosk Technologies,944,9.1k,245,107,--
Dixon Technologies,942,4.3k,4,122,1
Gujarat Fluorochemicals,942,4.9k,--,150,3
Schindler,944,4k,8,121,--
Fresenius Kabi,940,4.2k,6,125,--
Atul,934,4.6k,6,121,--
Nexa,938,2.8k,--,77,--
Vibgyor High School,936,3.9k,149,111,--
The Jaypee Group,929,3.4k,--,115,1
K12 Techno Services,940,4k,197,65,1
Amneal Pharmaceuticals,938,4.9k,31,146,1
Vestas,937,4.7k,5,144,6
Eureka Outsourcing Solutions,936,3.2k,7,90,--
Hitachi Astemo,933,4.1k,--,137,--
Altisource,929,5k,31,144,9
FOCUS EDUMATICS,931,2.5k,--,46,18
Amara Raja Energy & Mobility,940,3.6k,63,120,--
Tata AutoComp Systems,939,5k,26,106,1
iSON Xperiences,931,3.1k,11,95,2
Luminous Power Technologies,926,3.2k,34,125,--
Indegene,934,7.4k,43,130,16
Wistron,934,5.1k,6,150,2
CreditAccess Grameen,927,2.3k,5,71,7
TELUS International Philippines,935,6.9k,66,44,--
Infogain,931,10.2k,124,142,4
GAIL,923,3k,--,93,2
Patanjali Foods,917,2.9k,3,109,--
Medhaj Techno Concept,922,1.9k,--,168,78
Tenneco,918,4.5k,--,126,--
Jio Platforms,938,6.9k,2,69,--
IndiaFirst Life Insurance,928,3.4k,--,104,--
Infinx,926,3.9k,19,79,--
Videocon d2h,907,1.5k,--,102,--
Kantar,928,5.7k,--,82,--
Johnson Lifts,917,3.3k,4,95,1
Continental Automotive Components,919,8.2k,11,140,--
CSB Bank,931,5.1k,8,46,--
Eaton Corporation,918,6.7k,101,133,10
AIIMS,913,4.1k,--,68,13
Consolidated Contractors,898,1.4k,--,170,--
Wind World,910,3.2k,2,122,--
Bajaj Motors,900,3.4k,--,117,--
Piaggio,906,3.8k,18,126,3
PharmEasy,906,4.5k,20,95,13
Godrej Properties,920,5.7k,24,112,1
Mahindra CIE Automotive,904,3.9k,80,92,--
Bharat Sanchar Nigam,892,2.6k,--,104,--
TE Connectivity,905,5.8k,30,159,--
PNB Housing Finance,903,4.1k,2,90,--
Intertek,900,3.6k,20,116,1
Jaquar,903,4.1k,1,123,--
Zf Rane Automotive,901,3.6k,--,138,--
JW Marriott,895,2.2k,--,160,--
Automotive Manufacturers,900,5.7k,10,79,2
TUV SUD,898,3.5k,19,99,2
Godrej Consumer Products,895,4.1k,--,126,4
Gannon Dunkerley & Co.,885,2.2k,--,118,1
Mondelez International,904,4k,32,134,9
IIFL SAMASTA,900,2.2k,5,22,7
Capri Global Capital,895,3k,72,39,9
Worley,894,5.7k,55,128,--
JSW Cement,887,3.6k,--,110,12
Sahara India Pariwar,881,2.6k,1,107,5
Apexon,894,7.7k,66,27,1
Adobe,900,10.4k,7,175,1
Slk Software Services,887,8.4k,99,99,--
Spencer's Retail,885,2.8k,14,99,--
Karma Ayurveda,878,379,--,33,--
Punj Lloyd,871,2k,--,141,--
Dhoot Transmission,880,3.8k,--,115,1
Sonata Software,887,10.5k,32,89,--
Petrofac,870,2.7k,28,116,5
Morningstar,893,7.2k,101,126,3
Siemens Gamesa Renewable Power Private Limited,876,4.8k,--,106,1
R Systems International,886,7k,20,117,5
Hinduja Leyland Finance,875,2.4k,20,73,--
GAO Tek,952,136,35,46,--
Hatsun Agro Product,874,4k,16,107,1
Shriram Life Insurance,870,3.4k,11,83,1
Urban Company,878,4.4k,74,111,11
Coca-Cola Company,867,2.8k,--,102,1
Tikona Infinet,863,3k,--,90,--
NSH,865,2k,--,107,--
Viraj Profiles,859,4k,1,156,--
Serco,855,1.6k,--,140,1
Nielsen,861,5.3k,--,130,6
HPCL-Mittal Energy Limited,858,4.2k,--,121,4
Episource,867,3.6k,2,84,2
Decathlon,875,3.4k,3,115,2
Podar International School,868,2.7k,--,121,7
Thyrocare Technologies,867,4k,14,96,1
Amazon Logistics,871,3.2k,--,87,5
RBL FinServe,861,2.7k,--,83,1
iQor Global Services,850,2.5k,23,115,6
Atos Global IT Solutions And Services,856,8k,210,107,10
Airtel Payments Bank,858,3.8k,17,116,2
OpenText Technologies,857,9.2k,51,107,3
Arvind Lifestyle Brands,853,2.2k,--,2,--
Strides Pharma,851,3.8k,5,150,--
Bajaj Housing Finance,855,4.7k,19,62,2
JK Lakshmi Cement,856,3.3k,--,99,1
Kirloskar Oil Engines,851,3.5k,5,105,1
Mando Automotive,849,4.6k,--,129,1
Sunknowledge Services ,851,2.5k,10,227,--
MDIndia Health Insurance TPA,856,3.3k,13,89,3
iMerit,853,3.9k,14,104,--
PNC Infratech,849,3.1k,11,81,2
Sri Chaitanya Educational Institutions,841,2.9k,2,69,--
FastInfo,842,641,1,358,2
Shubham Housing Development Finance,845,2.7k,3,74,1
Altimetrik,853,8.6k,30,122,10
V5 Global Services,851,2.7k,42,76,2
Kendriya Vidyalaya Sangathan,835,1.6k,--,63,1
Parexel International,843,5.2k,3,127,4
Ion Exchange India,838,4.1k,17,91,3
Onward Technologies Inc,842,5.4k,97,47,16
BGR Energy Systems,839,3.9k,--,124,--
Jubilant Pharmova,832,3.9k,100,117,5
Aarvee Associates,836,3.1k,5,104,2
Barbeque Nation,832,2.4k,13,120,9
NTT DATA Business Solutions,842,8.4k,--,18,--
DCM Shriram,825,4k,5,128,--
Volkswagen,826,3.4k,1,98,15
Novo Nordisk,831,5k,117,136,10
Muthoot Microfin,827,1.9k,10,68,14
Rockman Industries,821,3.5k,19,104,1
ReNew,841,4.1k,86,100,3
Intel,829,7.8k,451,101,9
Jacobs Engineering Group,827,4.6k,34,97,1
The Ramco Cements,824,3.2k,--,101,--
Edelweiss Tokio Life Insurance,819,3.6k,2,95,1
XcelServ Solutions,815,484,--,28,--
Softenger,821,2.3k,3,169,12
Chetu,831,7.3k,13,121,23
Evision Technoserve,813,224,--,41,--
Nippon Paint India,831,3.4k,5,89,2
OM Logistics,824,3k,6,102,1
Medplus(optival Health Solutions),820,3.1k,15,61,--
Lemon Tree Hotels,814,2.6k,--,141,--
Aerial Telecom Solutions,814,1.8k,70,35,1
Power Grid Corporation of India,819,1.9k,--,82,4
Pristyn Care,819,3.5k,45,174,--
1point1 Solutions,814,3k,57,90,2
Vertex Customer Solutions,800,1.6k,1,89,1
Vistaar Finance,805,2.1k,4,137,3
Provana,810,3k,11,272,4
Hyundai Mobis,808,4.4k,7,143,--
V2 Retail,799,2.3k,10,90,1
Ceasefire Industries,797,2.6k,3,77,--
Capacit'e Infraprojects,799,3.2k,4,66,--
Unicharm,804,2.5k,--,113,--
TechnipFMC,803,5.1k,--,111,--
Brillio,807,8.5k,97,85,5
ThyssenKrupp Industries India,796,4.2k,--,93,2
Nykaa,801,5k,25,62,3
Kotak Mahindra Prime,796,3.8k,--,69,--
GEP Worldwide,806,7k,30,134,10
Hindustan Zinc,796,4.2k,--,107,--
Qualcomm,797,10.5k,571,152,1
Happiest Minds Technologies,795,9.1k,21,96,9
ZF Steering Gear,797,5.3k,11,104,--
More Supermarket ,795,3.1k,--,59,--
CarDekho,793,4.3k,131,113,20
Dana Anand,792,2.7k,--,131,--
TEKsystems,791,8.4k,30,86,2
Hathway,790,3.5k,15,79,--
CenturyPly,787,3.4k,5,56,6
Colliers International,791,4k,84,79,--
Intex Technologies,781,1.8k,--,97,--
Acuity Knowledge Partners,798,7.7k,117,87,14
Karur Vysya Bank,790,3.5k,38,61,--
Stanza Living,788,3.1k,73,62,16
Tube Investments of India,782,2.9k,25,60,5
 TK Elevator,784,3.4k,--,101,--
Reliance AJIO ,781,2.5k,--,102,--
United Alliance Technology,777,32,--,99,--
Aditya Birla Finance,794,4.3k,9,53,2
TradeIndia (Infocom Network Private Limited),789,4.3k,60,59,28
Pizza Hut,781,2k,--,83,11
Bosch Chassis Systems,775,2.7k,--,119,--
Apotex Research,779,2.6k,1,111,--
Feedback Infrastructure Services,778,2.9k,2,92,--
Imperial Auto Industries,785,4.1k,14,69,6
Rashmi Metaliks,784,3.5k,12,70,5
Secure Meters,776,3.9k,54,108,8
Spandana Sphoorty Financial,773,2.1k,18,80,2
Kirloskar Brothers,777,3.9k,1,103,11
Syngenta,775,3.1k,29,92,5
Colgate Palmolive,784,3.7k,1,122,--
Diageo,779,5.4k,27,109,2
Sundaram Finance,775,2.7k,14,88,7
Fidelity Investments,783,8.1k,7,172,--
Genius Consultants,780,3.6k,10,77,--
H.G. Infra Engineering,780,2.3k,--,93,--
Ahluwalia Contracts India,774,2.8k,9,73,2
Kinara Capital,799,1.7k,43,156,39
Pricol,771,4k,1,94,15
Dassault Systemes,772,5.8k,1,148,5
PayPal,778,7.4k,87,125,6
Orchids International School,769,3.1k,18,55,--
Nilkamal,767,3.2k,13,86,--
Tata Chemicals,762,2.7k,26,140,8
 Sundaram Clayton,768,3k,--,96,--
Shalby Hospitals,765,1.9k,36,55,1
CALIBEHR,766,2.5k,5,62,--
VIP Industries,762,2.9k,5,92,2
Incedo,765,7.6k,18,119,17
FLSmidth,762,4.4k,19,113,--
JTEKT,758,3.7k,--,99,--
Gmmco,753,2.6k,13,115,1
Visionet Systems,761,5.2k,14,93,--
Fusion Microfinance,762,2.2k,15,76,2
eClinicalWorks,759,4.8k,16,169,1
Mahindra First Choice Wheels,753,3.2k,6,78,--
Air India,759,3.4k,6,122,--
SLK Global Services,752,3.5k,5,102,--
Egis  India Consulting Engineers,749,2.5k,2,106,--
AstraZeneca,753,6.1k,3,167,--
Perfetti Van Melle,750,2.5k,6,99,2
Nirma,744,3k,--,124,1
MakeMyTrip,755,6.3k,74,97,11
KIMS Hospital,753,2.7k,3,79,--
Next Education India,753,3.1k,88,126,--
VeeTechnologies,752,4.1k,126,81,--
Pacific BPO,757,3.6k,16,75,6
LOREAL,747,3.4k,27,106,1
Caratlane Trading,755,1.9k,10,90,25
Hikal,748,3.9k,20,88,--
MAHLE ANAND Filter Systems,741,3k,--,121,--
Teva Pharmaceuticals,743,3.8k,20,138,--
INDO-MIM ,740,3.6k,15,122,--
Birla Corporation,742,3.2k,--,87,2
HFCL,739,3.4k,2,89,2
Capital Numbers Infotech,734,915,3,103,131
Vedanta Aluminium,742,4k,--,116,2
Fluor Corporation,728,2k,--,12,--
Prodapt,743,7k,22,80,11
C&S Electric,733,3.5k,11,95,13
Webhelp,740,4.5k,--,97,3
ICICI Prudential Mutual Fund,739,4.4k,--,86,--
SitusAMC,736,4.1k,26,47,--
CADD Centre Training Services,728,2.5k,17,95,--
Zoho,741,6.8k,1,129,22
Metropolis Healthcare,728,3k,1,73,1
Pernod Ricard,727,3.8k,1,117,6
Future Focus Infotech,727,4.6k,--,50,--
Uber,737,6.9k,3,105,12
Patra Corporation,733,3.5k,1,82,--
Troikaa Pharmaceuticals,727,3k,27,84,--
Mu Sigma,742,6.6k,2,124,11
Better.com,719,3.9k,14,123,--
Air India Sats Airport Services,736,2k,--,69,--
Orion Edutech,716,2k,--,77,--
Ford Business Solutions,723,3.2k,--,31,--
SBFC Finance,727,2.4k,40,52,5
TNQ Technologies,722,3.5k,9,82,--
Skill Lync ,721,3.5k,24,32,4
Thomas Cook,718,3.9k,--,90,--
Otis Elevator,721,3.4k,--,89,3
Wheels,717,4.5k,2,84,--
Neel Metal Products,707,2.8k,--,70,4
Amara Raja Group,712,3.1k,2,109,--
C.R.I. Pumps,709,2.9k,19,79,2
Indira IVF Hospital,714,2.3k,119,77,--
Centre for Development of Advanced Computing,719,4.9k,--,62,--
Schaeffler India,711,4.2k,--,115,5
GVPR Engineers,710,2.6k,9,146,--
Yashoda Hospitals,707,3.1k,30,85,--
Federal Bank,708,4.3k,--,74,--
Quest Retail Private Limited,702,773,1,248,61
Test Yantra Software Solutions,716,18.5k,8,138,--
Toppr,699,4.3k,50,98,12
Leadec India,705,3.1k,17,91,13
Willis Towers Watson,706,6.1k,23,101,--
Vertiv,706,3k,87,11,4
Pramerica Life Insurance,703,2.5k,46,71,--
Aarvi Encon,710,2.5k,4,67,--
Alok Industries,701,2.9k,5,84,--
Aviva Life Insurance India,700,2.6k,5,63,--
Huhtamaki,699,2.7k,23,89,--
Bank of India,695,2.7k,1,91,11
Suzuki Motorcycle,701,3.5k,1,93,1
Meril,700,3.4k,18,76,18
Shriram General Insurance,697,2.8k,4,54,--
Everest Industries,697,2.7k,4,89,1
Gharda Chemicals,695,3.6k,5,108,--
Grant Thornton,699,8.2k,73,85,--
Napino Auto & Electronics,699,3.5k,--,81,2
Centum Electronics,697,3.7k,14,113,--
DLF,699,3.4k,14,71,5
Dunzo,695,3.3k,7,28,5
Digit Insurance,703,3.4k,37,105,16
Marks & Spencer,694,2.6k,15,121,--
Lakshmi Machine Works,701,3.6k,--,69,3
Godrej Agrovet,691,2.8k,1,80,1
Zydus Wellness,702,2.1k,7,76,8
Aspire Systems,701,8k,33,92,15
Columbia Asia,685,2k,--,99,--
THE LEELA PALACES HOTELS & RESORTS,691,2.3k,1,108,--
Rupeek,689,3k,32,55,--
Westside,688,1.7k,--,78,2
Aparna Constructions and Estates,693,2.9k,34,96,22
HT Media,689,4.6k,41,88,6
Sykes Business Services Of India,685,2.7k,17,220,33
Parekh Integrated Services,682,2.6k,24,93,--
Sandhar Technologies,675,3.2k,22,79,1
Bechtel,681,2.8k,3,93,2
Kohler,695,3.9k,44,83,9
Allianz Technology,692,5.8k,--,121,6
Star Cement,687,2.7k,5,90,--
Greaves Cotton,682,2.7k,5,98,--
Duck Creek Technologies,679,1.1k,3,414,--
Natco Pharma,686,3.1k,6,89,1
Knorr-Bremse,684,3.6k,9,124,--
Vedanta Resources,682,5.1k,--,101,1
KEI Industries,681,3k,1,90,--
Timken,686,3.6k,14,109,8
Panacea Biotec,678,2.5k,5,101,--
ffreedom app,678,1.3k,20,3,12
Godfrey Phillips India,677,2.7k,--,106,--
National Health Mission,673,2.1k,--,54,1
Samsung Engineering,672,2.3k,--,118,1
Varroc Polymers,679,2.9k,--,85,--
United Breweries,676,3.1k,3,97,--
Medha Servo Drives,683,2.4k,--,111,--
Asirvad Microfinance,679,1.8k,--,60,3
SHYAM METALICS AND ENERGY,677,2.8k,10,49,1
Franklin Templeton Investments,672,4.5k,156,81,4
Samsung Research,691,6.8k,3,164,--
NielsenIQ,685,4.3k,15,63,5
Atlas Copco,674,4k,52,101,--
Page Industries,675,3.1k,1,82,2
Defence Research & Development Organisation,653,3.4k,--,87,--
LEAD School,675,2.8k,19,78,2
Astral Pipe,675,2.5k,26,33,2
Greenko Group,669,3.1k,3,100,2
ValueMomentum,677,7.3k,18,59,20
Tata Consumer Products,677,3.4k,13,67,3
Infra.Market,677,2k,23,43,14
Piramal Pharma,682,3.7k,165,103,3
Indusind Marketing & Financial Services,664,2k,--,60,--
T-SYSTEMS ICT INDIA,668,6.4k,27,96,2
Bayer Crop Science Vegetable Seeds,662,523,1,7,--
Precision Techserve,666,3.1k,7,28,--
Aristo Pharmaceuticals,669,2.1k,1,65,--
Qinecsa Solutions,668,3.3k,16,2,--
NetAmbit,663,2.6k,30,36,5
Adani Green Energy,674,3.3k,1,81,2
Kalpataru Group,669,3.6k,26,83,1
SFO Technologies,667,3.9k,--,66,3
Future Supply Chain Solutions,657,2.9k,--,92,1
Financial Software & Systems,662,5.3k,8,63,1
Rebel Foods,662,2.8k,27,65,1
Acme Cleantech Solutions,595,2.4k,3,98,1
Northern Trust,676,5.7k,2,9,15
Salesforce,664,8.2k,158,115,18
Galfar,652,1.8k,--,85,--
Cult.fit,670,3.5k,56,90,10
Innova Solutions,669,5.3k,102,26,1
Lumina Datamatics,659,4k,9,53,1
Mswipe Technologies,648,2.9k,20,56,3
Velocis Systems,652,4.5k,8,56,--
AtkinsRealis,652,1.4k,144,94,--
Michelin,654,4.1k,47,114,--
Snapdeal,652,3k,21,124,12
Prochant,674,1.4k,19,112,16
Citco,662,5.3k,--,57,--
Fareportal,658,3.9k,26,111,--
General Mills,654,4.2k,--,126,--
City Union Bank,661,4.3k,--,61,2
CNH,661,3.3k,--,89,24
Lowe's,659,7.3k,--,136,--
NBC Bearings,656,2.7k,2,51,5
 Quess IT Staffing Solutions ,653,2k,29,9,--
Nityo Infotech,652,4.7k,109,48,--
J B Chemicals And Pharmaceuticals,657,2.5k,--,86,--
Athena BPO,653,2.4k,5,63,4
Bayer,657,3.8k,--,133,--
NetCracker,650,7.8k,1,95,12
Netscribes,646,3k,33,74,10
Royal Sundaram General Insurance,645,2.7k,1,64,6
ICCS,650,2.4k,34,50,21
Sanden Vikas,643,2.8k,--,78,1
Musashi Auto Parts,644,2.6k,--,76,--
Karvy Stock Broking,643,2.8k,3,72,--
GAMMON INDIA,634,1.4k,--,74,--
Aparajitha Corporate Services,644,2.4k,1,60,--
DuPont,639,3.3k,--,91,1
Hitachi Payment Services,638,2.6k,--,64,--
Sandvik Asia,634,2k,--,99,11
Shilpa Medicare,631,3.6k,1,55,9
Collins Aerospace,646,6k,36,111,5
OCS Group,635,2.4k,2,57,--
Border Security Force,629,1.3k,--,85,--
Artech Infosystems,637,3.8k,70,76,1
Jabil Circuit India,636,3k,27,78,2
Tata Electronics,653,3.4k,2,67,1
Temenos,639,7.6k,6,60,12
Knight Frank,636,2.8k,9,80,--
Signify,635,3.7k,1,84,--
Merino Industries,632,2.8k,13,78,18
Medusind Solutions,635,2.8k,32,102,--
Genpact Headstrong Capital Markets,636,6.1k,--,109,--
Schlumberger,635,4.7k,1,--,13
OLX,630,3.7k,25,116,--
Navayuga Engineering Company,625,2.1k,9,90,1
Zepto,645,2.6k,147,33,--
Tata Starbucks,630,1.6k,143,113,7
DAV Public School,626,1.4k,--,83,5
ESL Steel,624,2.3k,--,97,--
Micromax Informatics,618,1.7k,2,97,--
Adani Enterprises,630,3.7k,4,84,--
HomeLane,627,3.5k,21,66,6
Mastek,632,5.8k,21,48,--
Porter,627,2.2k,20,57,5
Arohan Financial Services,619,1.9k,13,61,4
Xebia,622,4k,9,238,35
Ageas Federal Life Insurance,617,2.1k,46,69,2
Quantiphi Analytics Solutions Private Limited,621,5.4k,55,64,--
Volvo,615,4.7k,15,94,4
The Akshaya Patra Foundation,612,1.8k,16,66,48
Eveready Industries,612,2.3k,--,87,1
Reliance Power,610,2.8k,3,69,2
AuthBridge Research Services,635,2.9k,21,64,7
Rungta Mines,623,3k,--,60,--
Guardian India,619,3.8k,7,98,10
BNP Paribas India Solutions,615,6.8k,--,116,--
GlaxoSmithKline Consumer Healthcare,608,2.1k,--,85,--
RAMTeCH Software Solutions,609,2.8k,8,59,--
Amul Dairy,610,1.7k,--,39,--
TÜV NORD,606,3.3k,11,67,--
Globant,624,6.8k,47,105,--
Dhani Services,604,2.1k,15,8,--
CRB Tech Solution,602,561,--,41,--
Svatantra Microfin,609,1.6k,16,76,4
Kutumbh Care,608,1.7k,--,57,2
First Advantage,608,6.3k,17,61,5
Prism Johnson,608,3.5k,--,65,3
Amphenol Interconnect,605,2.9k,--,80,1
Kurlon,602,2.3k,--,91,--
IMPACT Infotech,605,2.6k,--,81,--
Bridge & Roof Co,600,2.9k,--,101,--
Salcomp Manufacturing,609,3.1k,--,77,--
Steag Energy Services,605,2.7k,9,100,--
GirnarSoft,603,3.8k,22,98,--
Veradigm,603,3.7k,40,6,--
ICA Edu Skills,603,1.6k,16,60,--
NoBrokerHOOD,601,1.6k,60,216,2
Deccan Fine Chemicals,608,3.6k,1,68,--
GE Healthcare,607,5.2k,3,104,4
ACL Digital,604,5.7k,18,47,--
Jaya Hind Industries,599,2.4k,--,63,--
 Deepak Fertilisers and Petrochemicals  ,605,2.9k,10,83,14
Edubridge Learning,611,1.2k,9,174,11
Bitwise Solutions,596,4.2k,14,134,--
McDermott International,597,3.5k,73,79,--
Carnival Cruise Lines,595,813,--,79,3
Transsion,588,2.8k,4,74,4
Indium Software,622,4.7k,176,66,6
