company,reviews,salaries,jobs,benefits,photos
Bosch,3.6k,19.9k,--,644,16
Reliance Communications,3.5k,11.7k,2,376,--
BNY Mellon,3.6k,28.5k,303,554,1
L&T Technology Services,3.6k,33.3k,--,463,5
Schneider Electric,3.6k,20.9k,44,494,6
Hyundai Motor,3.5k,12.9k,6,581,15
Amdocs,3.5k,35k,--,696,20
Oyo Rooms,3.4k,24.1k,38,393,13
Swiggy,3.5k,19k,111,369,13
CBRE,3.4k,15.6k,71,484,11
State Bank of India,3.4k,10.2k,--,409,1
JBM Group,3.4k,13k,--,394,13
BT Group,3.4k,10.8k,17,317,--
SBI Life Insurance Company,3.3k,10.7k,19,336,4
Optum,3.4k,26.3k,23,568,4
Ecom Express,3.3k,8.3k,57,336,13
Nagarjuna Construction Company,3.3k,10.3k,19,424,6
Dell,3.3k,26.9k,3,572,24
Bajaj Auto,3.3k,13k,2,564,21
KEC International,3.3k,10.8k,7,453,17
Future Group,3.2k,10.9k,3,421,3
Piramal Capital Housing Finance,3.2k,8.4k,12,270,18
Aditya Birla Fashion and Retail,3.2k,11.4k,22,433,11
Muthoot Fincorp,3.2k,7.9k,39,282,7
Royal Enfield,3.1k,13.2k,4,419,23
L&T Finance,3.1k,10.3k,--,270,19
Viatris,3.1k,13.8k,1,530,11
Tata Communications,3.1k,22.4k,425,435,11
Samvardhana Motherson Group,3k,13k,43,415,--
Intas Pharmaceuticals,3.1k,15k,38,411,9
LG Electronics,3.1k,9.8k,--,417,8
John Deere,3k,13.9k,1,437,11
Varun Beverages,3k,9.5k,78,331,15
Kogta Financial India Limited,3k,1.3k,11,51,25
Persistent Systems,3k,32.8k,8,410,18
Godrej & Boyce Manufacturing,3k,15.8k,48,432,3
Randstad,3k,13.3k,253,342,2
Thermax Limited,2.9k,11.7k,92,390,9
Hetero Drugs,2.9k,13.5k,24,343,3
Deutsche Bank,2.9k,31.1k,343,424,79
Macleods Pharmaceuticals,2.9k,13.9k,--,374,--
Havells,2.9k,11.7k,55,333,4
CARS24 ,2.9k,12.3k,150,430,11
Team Lease,2.9k,14k,20,227,2
Subros,2.8k,11.7k,4,420,7
Sodexo,2.8k,9.2k,108,384,7
Abbott,2.8k,10.7k,148,384,8
VE Commercial Vehicles,2.8k,12.5k,14,377,5
Indian Oil Corporation,2.8k,7.4k,--,312,19
Whitehat jr,2.8k,9.5k,188,973,3
Ford Motor,2.8k,14k,163,403,11
Tata Capital,2.8k,9.7k,1.4k,110,23
Automatic Data Processing (ADP),2.8k,20k,26,481,13
Bharat Electronics,2.8k,11.3k,--,327,1
Cummins,2.8k,14.7k,19,477,11
ITC Infotech ,2.8k,27.3k,539,306,8
Access Healthcare,2.8k,18.4k,144,290,37
R1 RCM,2.8k,16.4k,76,378,18
American Express,2.8k,20.8k,180,450,5
