State/UT,ABHAs Created,population
Andaman And Nicobar Islands,442168,400000
Chandigarh,689084,1200000
DNHDD,682321,700000
Delhi,8187042,19800000
Ladakh,377439,300000
Lakshadweep,102966,70000
Puducherry,1110128,1400000
