category,name,price_inr,orginal_price_inr,discount%
Deyann,Men Regular Fit Sherwani Set with Button Down,4995,9990,50
KISAH,Men Floral Woven Sherwani with Kurta & Pyjamas,7999,12898,38
KISAH,Men Self-design Regular Fit Sherwani Set,6999,11299,38
ChitwanMohan,Sherwani with Dhoti Pants,2799,3999,30
KISAH,Floral Print Mandarin-Neck Sherwani Set,7599,14298,47
hangup,Indian Sherwani Set,2900,9999,71
KISAH,Men Embellished Woven Sherwani & Pyjamas Set,6699,11198,40
KISAH,Men Floral Woven Sherwani & Dhoti Set,7798,13598,43
KISAH,Men Embellished Regular Fit Sherwani with Kurta & Pants,8899,13498,34
KISAH,Men Embroidered Regular Fit Sherwani with Pants,5899,10499,44
KISAH,Men Regular Fit Sherwani Set,8399,13198,36
KISAH,Sherwani Set with Woven Motifs,5799,12399,53
KISAH,Men Regular Fit Sherwani & Churidar Set,4799,7899,39
KISAH,Men Leaf Woven Sherwani & Pyjamas Set,7299,11599,37
Deyann,Graphic Pattern Sherwani Set,2995,5990,50
ChitwanMohan,Sherwani with Contrast Pants,2589,3699,30
KISAH,Self-design Sherwani Dhoti Set,5048,9899,49
KISAH,Floral Sherwani and Dhoti Set,7298,17299,58
KISAH,Sherwani Set with Woven Motifs,6499,11498,43
KISAH,Sherwani Set with Chevron Woven Motifs,6299,11699,46
KISAH,Men Geometric Woven Sherwani with Kurta & Pyjamas,9199,13998,34
KISAH,Men Self-Design Regular Fit Sherwani Set,10199,15999,36
KISAH,Sherwani Set with Band Collar,4199,10799,61
KISAH,Men Regular Fit Sherwani & Dhoti Pants Set,5899,8899,34
KISAH,Men Self-Design Regular Fit Sherwani Set,6699,11899,44
KISAH,Self-design Sherwani Set,6999,14099,50
hangup,2-Piece Sherwani Set,2900,9999,71
Deyann,Floral Pattern Sherwani Set,4995,9990,50
hangup,Self-design Sherwani Set,3120,12999,76
KISAH,Men Floral Woven Regular Fit Sherwani with Churidar & Dupatta,8499,10999,23
KISAH,Sherwani & Pyjamas with Floral Print Dupatta,8199,11397,28
KISAH,Geometric Print Sherwani Set,5799,8898,35
KISAH,Men Paisley Woven Sherwani with Kurta & Churidar,9998,17298,42
KISAH,Men Leaf Woven Sherwani with Kurta & Churidar,8700,14100,38
KISAH,Self-design Sherwani Set,6899,9399,27
KISAH,Straight Sherwani Set,4940,8098,39
KISAH,Men Floral Woven Sherwani with Kurta & Pants,10099,16497,39
KISAH,Men Regular Fit Sherwani Set ,5248,14399,64
KISAH,Men Regular Fit Sherwani Set,9699,15697,38
KISAH,Men Geometric Woven Regular Fit Sherwani & Dhoti Set,8200,14398,43
KISAH,Men Leaf Woven Sherwani with Kurta & Churidar,7799,12498,38
KISAH,Floral Print Sherwani Set,9499,14698,35
KISAH,Mandarin Collar Sherwani & Kurta with Churidar Set,5699,9499,40
ChitwanMohan,Sherwani with Contrast Pants,1959,2799,30
ChitwanMohan,Sherwani & Churidar Set,2099,2999,30
ChitwanMohan,Sherwani & Churidar Set,2309,3299,30
ChitwanMohan,Sherwani & Pyjama Set,2519,3599,30
ChitwanMohan,Sherwani with Contrast Pants,2449,3499,30
ChitwanMohan,Sherwani with Dhoti Pants,2799,3999,30
ChitwanMohan,Sherwani & Churidar Set,2099,2999,30
ChitwanMohan,Sherwani & Churidar Set,2309,3299,30
KISAH,Embroidery Sherwani Set,8799,15397,43
KISAH,Floral Printed Sherwani & Churidar Set,9499,16397,42
HANGUP PLUS,Buttoned-Up Sherwani with Dhoti,2900,9999,71
KISAH,Men Leaf Woven Sherwani with Kurta & Pyjamas,8199,13097,37
KISAH,Men Paisley Woven Sherwani & Dhoti Set,8999,14998,40
KISAH,Men Leaf Woven Sherwani with Kurta & Dhoti,8599,13597,37
KISAH,Men Floral Woven Sherwani with Kurta & Dhoti,9599,16097,40
KISAH,Men Floral Woven Regular Fit Sherwani Set,8199,14099,42
KISAH,Printed Mandarin-Neck Sherwani Set,7999,15697,49
